Aptenodytes______, {{100, 1.0}}
Monodelphis_domestica, {{21, 0.92}, {79, 0.93}}
Procavia_capensis, {{6, 0.33}, {53, 0.34}, {3, 0.36}, {38, 0.35}}
Tamandua_tetradactyla, {{6, 0.95}, {94, 0.94}}
Elomeryx_borbonicus_, {{100, 0.0}}
Dama_dama, {{100, 0.0}}
Plesiosaurus, {{100, 1.0}}
Pogona_viceps, {{100, 0.0}}
Protochampsidae, {{5, 0.22}, {36, 0.24}, {6, 0.26}, {1, 0.27}, {30, 0.23}, {21, 0.25}, {1, 0.21}}
Asilisaurus, {{100, 0.0}}
Scutellosaurus_lawleri, {{31, 0.22}, {16, 0.2}, {3, 0.24}, {19, 0.23}, {25, 0.21}, {6, 0.19}}
Spinosaurus_.11, {{3, 0.21}, {18, 0.18}, {13, 0.15}, {21, 0.17}, {15, 0.16}, {6, 0.13}, {13, 0.14}, {11, 0.19}}
Spinosaurus_.10, {{1, 0.3}, {16, 0.26}, {13, 0.25}, {2, 0.28}, {12, 0.22}, {9, 0.2}, {11, 0.27}, {9, 0.21}, {1, 0.19}, {11, 0.24}, {13, 0.23}, {2, 0.29}}
Spinosaurus_.9, {{100, 1.0}}
Spinosaurus_.8, {{100, 1.0}}
Spinosaurus_.7, {{2, 0.99}, {98, 1.0}}
Spinosaurus_.6, {{11, 0.98}, {8, 0.96}, {81, 0.97}}
Spinosaurus_.5, {{100, 1.0}}
Spinosaurus_.4, {{100, 1.0}}
Spinosaurus_.3, {{100, 1.0}}
Spinosaurus_.2, {{100, 1.0}}
Spinosaurus_.1, {{60, 0.98}, {40, 0.97}}
Spinosaurus_, {{100, 1.0}}
Baryonyx.3, {{17, 0.88}, {1, 0.91}, {29, 0.9}, {51, 0.89}, {2, 0.87}}
Baryonyx.2, {{100, 0.99}}
Baryonyx.1, {{100, 1.0}}
Suchomimus.3, {{100, 0.01}}
Suchomimus.2, {{46, 0.1}, {11, 0.11}, {37, 0.09}, {5, 0.12}, {1, 0.08}}
Suchomimus.1, {{100, 0.01}}
Suchomimus, {{39, 0.1}, {40, 0.11}, {11, 0.09}, {2, 0.13}, {8, 0.12}}
Baryonyx, {{100, 1.0}}
Dromaius_, {{100, 0.0}}
Crypturellus_tataupa, {{100, 0.0}}
Atlantisia_rogersi, {{100, 0.0}}
Xenicus_longipes, {{100, 0.0}}
