Spinosaurus_.11, {{23, 0.22}, {13, 0.18}, {16, 0.2}, {4, 0.24}, {5, 0.17}, {6, 0.16}, {9, 0.23}, {1, 0.25}, {10, 0.21}, {13, 0.19}}
Spinosaurus_.10, {{13, 0.3}, {3, 0.32}, {12, 0.26}, {7, 0.25}, {8, 0.28}, {3, 0.22}, {11, 0.31}, {3, 0.33}, {11, 0.27}, {5, 0.24}, {18, 0.29}, {6, 0.23}}
Spinosaurus_.9, {{100, 1.0}}
Spinosaurus_.8, {{100, 1.0}}
Spinosaurus_.7, {{83, 0.99}, {17, 1.0}}
Spinosaurus_.6, {{3, 0.95}, {51, 0.96}, {46, 0.97}}
Spinosaurus_.5, {{100, 1.0}}
Spinosaurus_.4, {{100, 1.0}}
Spinosaurus_.3, {{100, 1.0}}
Spinosaurus_.2, {{66, 0.99}, {34, 1.0}}
Spinosaurus_.1, {{38, 0.96}, {62, 0.97}}
Spinosaurus_, {{100, 1.0}}
Baryonyx.3, {{22, 0.88}, {2, 0.91}, {22, 0.9}, {54, 0.89}}
Baryonyx.2, {{100, 0.99}}
Baryonyx.1, {{100, 1.0}}
Suchomimus.3, {{6, 0.01}, {94, 0.02}}
Suchomimus.2, {{38, 0.15}, {8, 0.17}, {33, 0.16}, {1, 0.13}, {20, 0.14}}
Suchomimus.1, {{1, 0.01}, {99, 0.02}}
Suchomimus, {{33, 0.15}, {3, 0.18}, {12, 0.17}, {39, 0.16}, {13, 0.14}}
Baryonyx, {{100, 1.0}}
Deinonychus, {{1, 0.15}, {42, 0.12}, {5, 0.11}, {46, 0.13}, {6, 0.14}}
Tinamou, {{100, 0.0}}
Anseranas_semipalmata, {{100, 0.0}}
Columba_, {{100, 0.0}}
Podica_senegalensis, {{3, 0.0}, {97, 0.01}}
Castor_fiber, {{80, 0.68}, {8, 0.67}, {12, 0.69}}
Euroscaptor_micrura, {{24, 0.34}, {26, 0.36}, {1, 0.33}, {49, 0.35}}
Taxidea_taxus, {{4, 0.24}, {42, 0.26}, {54, 0.25}}
Otaria_byronia, {{31, 0.95}, {69, 0.96}}
Nanophoca_vitulinoides, {{100, 1.0}}
Paguma_larvata, {{78, 0.1}, {8, 0.11}, {14, 0.09}}
Indohyus, {{100, 1.0}}
Rupicapra_rupicapra, {{100, 0.0}}
Rangifer_tarandus, {{100, 0.0}}
Nothosaurus_102, {{100, 1.0}}
Nothosaurus_150, {{100, 1.0}}
Spinosaurus_.11, {{3, 0.14}, {8, 0.22}, {6, 0.15}, {14, 0.18}, {14, 0.2}, {12, 0.17}, {10, 0.16}, {1, 0.23}, {17, 0.21}, {15, 0.19}}
Spinosaurus_.10, {{3, 0.3}, {11, 0.26}, {9, 0.25}, {12, 0.28}, {4, 0.22}, {5, 0.2}, {2, 0.31}, {17, 0.27}, {6, 0.21}, {11, 0.24}, {10, 0.23}, {10, 0.29}}
Spinosaurus_.9, {{100, 1.0}}
Spinosaurus_.8, {{100, 1.0}}
Spinosaurus_.7, {{100, 0.99}}
Spinosaurus_.6, {{51, 0.95}, {28, 0.94}, {13, 0.96}, {8, 0.93}}
Spinosaurus_.5, {{100, 1.0}}
Spinosaurus_.4, {{100, 1.0}}
Spinosaurus_.3, {{100, 1.0}}
Spinosaurus_.2, {{100, 0.99}}
Spinosaurus_.1, {{44, 0.95}, {11, 0.94}, {45, 0.96}}
Spinosaurus_, {{100, 1.0}}
Baryonyx.3, {{46, 0.85}, {19, 0.86}, {26, 0.84}, {6, 0.83}, {3, 0.87}}
Baryonyx.2, {{11, 0.98}, {89, 0.99}}
Baryonyx.1, {{100, 1.0}}
Suchomimus.3, {{29, 0.01}, {71, 0.02}}
Suchomimus.2, {{35, 0.12}, {3, 0.11}, {43, 0.13}, {19, 0.14}}
Suchomimus.1, {{12, 0.01}, {88, 0.02}}
Suchomimus, {{9, 0.15}, {15, 0.12}, {37, 0.13}, {39, 0.14}}
Baryonyx, {{100, 1.0}}
Gobiraptor_, {{98, 0.01}, {2, 0.02}}
Apteryx_australis, {{42, 0.03}, {58, 0.02}}
Apteryx_owenii_, {{100, 0.0}}
Cygnus_olor, {{74, 0.04}, {26, 0.03}}
Spheniscus, {{100, 1.0}}
Monodelphis_domestica, {{100, 0.97}}
Tenrec_ecaudatus, {{100, 0.99}}
Basilosaurus, {{100, 1.0}}
Dama_dama, {{100, 0.0}}
Champsosaurus, {{100, 1.0}}
Psephoderma, {{100, 1.0}}
Placondontia_indet, {{100, 1.0}}
Nothosaurus_mirabilis_1, {{100, 1.0}}
Lacerta_viridis, {{31, 0.22}, {14, 0.24}, {38, 0.23}, {17, 0.21}}
Alligator, {{100, 1.0}}
Spinosaurus_.11, {{29, 0.07}, {1, 0.1}, {9, 0.09}, {32, 0.08}, {22, 0.06}, {7, 0.05}}
Spinosaurus_.10, {{2, 0.09}, {18, 0.15}, {2, 0.17}, {8, 0.1}, {11, 0.11}, {18, 0.13}, {15, 0.12}, {22, 0.14}, {4, 0.16}}
Spinosaurus_.9, {{100, 1.0}}
Spinosaurus_.8, {{100, 1.0}}
Spinosaurus_.7, {{100, 1.0}}
Spinosaurus_.6, {{100, 0.99}}
Spinosaurus_.5, {{100, 1.0}}
Spinosaurus_.4, {{100, 1.0}}
Spinosaurus_.3, {{100, 1.0}}
Spinosaurus_.2, {{100, 1.0}}
Spinosaurus_.1, {{100, 0.99}}
Spinosaurus_, {{100, 1.0}}
Baryonyx.3, {{16, 0.94}, {24, 0.92}, {60, 0.93}}
Baryonyx.2, {{100, 1.0}}
Baryonyx.1, {{100, 1.0}}
Suchomimus.3, {{100, 0.0}}
Suchomimus.2, {{87, 0.03}, {1, 0.04}, {12, 0.02}}
Suchomimus.1, {{100, 0.0}}
Suchomimus, {{82, 0.03}, {18, 0.04}}
Baryonyx, {{100, 1.0}}
Gorgosaurus, {{16, 0.3}, {14, 0.34}, {16, 0.33}, {1, 0.36}, {27, 0.32}, {21, 0.31}, {3, 0.29}, {2, 0.35}}
Meleagris, {{100, 0.0}}
Chauna_chavaria, {{100, 0.0}}
Anas_aucklandica, {{100, 0.0}}
Xenicus_longipes, {{100, 0.0}}
Fregata_aquila, {{100, 0.0}}
