Chauna_chavaria, {{100, 0.0}}
Aramus_guarauna, {{100, 0.0}}
Porphyrio_Poliocephalus, {{100, 0.0}}
Phaeton_aethereus, {{100, 0.0}}
Chironectes_minimus, {{100, 0.99}}
Tenrec_ecaudatus, {{100, 0.96}}
Phocanella_pumila, {{100, 1.0}}
Felis_felis, {{100, 0.0}}
Sus_scrofa, {{100, 0.0}}
Rodhocetus, {{100, 1.0}}
Champsosaurus, {{100, 1.0}}
Rhaeticosaurus, {{100, 1.0}}
Cryptoclidus, {{100, 1.0}}
Nothosaurus_mirabilis_1, {{100, 0.99}}
Asilisaurus, {{100, 0.0}}
Lepidus, {{100, 0.0}}
Spinosaurus_.11, {{1, 0.21}, {13, 0.15}, {17, 0.18}, {3, 0.2}, {11, 0.17}, {11, 0.16}, {12, 0.13}, {15, 0.14}, {17, 0.19}}
Spinosaurus_.10, {{1, 0.3}, {17, 0.26}, {15, 0.25}, {2, 0.28}, {4, 0.22}, {14, 0.2}, {1, 0.18}, {9, 0.27}, {11, 0.21}, {5, 0.19}, {13, 0.24}, {8, 0.23}}
Spinosaurus_.9, {{100, 1.0}}
Spinosaurus_.8, {{100, 1.0}}
Spinosaurus_.7, {{41, 0.99}, {59, 1.0}}
Spinosaurus_.6, {{4, 0.95}, {46, 0.96}, {50, 0.97}}
Spinosaurus_.5, {{100, 1.0}}
Spinosaurus_.4, {{100, 1.0}}
Spinosaurus_.3, {{100, 1.0}}
Spinosaurus_.2, {{20, 0.99}, {80, 1.0}}
Spinosaurus_.1, {{27, 0.96}, {73, 0.97}}
Spinosaurus_, {{100, 1.0}}
Baryonyx.3, {{54, 0.88}, {2, 0.9}, {38, 0.89}, {6, 0.87}}
Baryonyx.2, {{100, 0.99}}
Baryonyx.1, {{100, 1.0}}
Suchomimus.3, {{100, 0.01}}
Suchomimus.2, {{27, 0.12}, {46, 0.11}, {19, 0.1}, {7, 0.13}, {1, 0.09}}
Suchomimus.1, {{100, 0.01}}
Suchomimus, {{40, 0.12}, {33, 0.11}, {19, 0.13}, {7, 0.1}, {1, 0.14}}
Baryonyx, {{100, 1.0}}
Deinonychus, {{61, 0.1}, {13, 0.11}, {26, 0.09}}
Anas_erythroincha, {{69, 0.01}, {31, 0.02}}
Nestor_notabilis, {{100, 0.0}}
Xenicus_longipes, {{100, 0.0}}
Microgale_thomasi, {{100, 0.01}}
Castor_fiber, {{63, 0.63}, {10, 0.64}, {27, 0.62}}
Lutra_vulgaris, {{100, 0.99}}
Nanophoca_vitulinoides, {{100, 1.0}}
Giraffa_camelopardalis, {{100, 0.0}}
Cephalophus_silvicultor, {{94, 0.04}, {6, 0.05}}
Placodontia_indet_1, {{100, 1.0}}
Poposaurus, {{100, 0.0}}
Alligator, {{29, 0.99}, {71, 1.0}}
Spinosaurus_.11, {{22, 0.15}, {1, 0.18}, {10, 0.17}, {18, 0.12}, {6, 0.11}, {17, 0.13}, {14, 0.16}, {12, 0.14}}
