Spinosaurus_.9, {{100, 1.0}}
Spinosaurus_.8, {{100, 1.0}}
Spinosaurus_.7, {{71, 0.99}, {29, 1.0}}
Spinosaurus_.6, {{5, 0.95}, {52, 0.96}, {43, 0.97}}
Spinosaurus_.5, {{100, 1.0}}
Spinosaurus_.4, {{100, 1.0}}
Spinosaurus_.3, {{100, 1.0}}
Spinosaurus_.2, {{44, 0.99}, {56, 1.0}}
Spinosaurus_.1, {{38, 0.96}, {62, 0.97}}
Spinosaurus_, {{100, 1.0}}
Baryonyx.3, {{44, 0.88}, {6, 0.9}, {44, 0.89}, {6, 0.87}}
Baryonyx.2, {{100, 0.99}}
Baryonyx.1, {{100, 1.0}}
Suchomimus.3, {{83, 0.01}, {17, 0.02}}
Suchomimus.2, {{5, 0.15}, {31, 0.12}, {5, 0.11}, {39, 0.13}, {20, 0.14}}
Suchomimus.1, {{78, 0.01}, {22, 0.02}}
Suchomimus, {{9, 0.15}, {18, 0.12}, {1, 0.16}, {36, 0.13}, {1, 0.11}, {35, 0.14}}
Baryonyx, {{100, 1.0}}
Australovenator, {{100, 0.0}}
Columba_, {{100, 0.0}}
Atlantisia_rogersi, {{100, 0.0}}
Trybonix_ventralis, {{100, 0.0}}
Strigiops_habroptilus, {{100, 0.0}}
Phaeton_aethereus, {{3, 0.0}, {97, 0.01}}
Fregata_aquila, {{100, 0.0}}
Small_Eocene_penguin, {{100, 1.0}}
large_eocene_stem_penguin, {{100, 1.0}}
Mus_musculus, {{100, 0.0}}
Rattus_rattus, {{100, 0.01}}
Noemys_fodies, {{48, 0.68}, {45, 0.67}, {7, 0.69}}
Diplomesodon_pulchellum, {{25, 0.85}, {71, 0.86}, {4, 0.87}}
Meles_meles, {{1, 0.04}, {99, 0.05}}
Nyctereutes_procyonoides, {{38, 0.06}, {62, 0.05}}
Bison_bonasus, {{100, 0.0}}
Capreolus_capreolus, {{100, 0.0}}
Megaloceros_sp, {{100, 0.0}}
Paraplacodus, {{100, 1.0}}
Neusticosaurus, {{100, 1.0}}
Poposaurus, {{100, 0.0}}
Dysalotosaurus, {{5, 0.78}, {30, 0.79}, {26, 0.81}, {1, 0.82}, {38, 0.8}}
Spinosaurus_.11, {{14, 0.22}, {1, 0.18}, {8, 0.2}, {16, 0.24}, {5, 0.26}, {2, 0.27}, {18, 0.23}, {18, 0.25}, {14, 0.21}, {4, 0.19}}
Spinosaurus_.10, {{15, 0.3}, {18, 0.32}, {7, 0.26}, {2, 0.35}, {10, 0.28}, {7, 0.34}, {9, 0.31}, {10, 0.33}, {14, 0.27}, {1, 0.24}, {7, 0.29}}
Spinosaurus_.9, {{100, 1.0}}
Spinosaurus_.8, {{100, 1.0}}
Spinosaurus_.7, {{100, 0.99}}
Spinosaurus_.6, {{39, 0.95}, {59, 0.96}, {2, 0.97}}
Spinosaurus_.5, {{100, 1.0}}
Spinosaurus_.4, {{100, 1.0}}
Spinosaurus_.3, {{100, 1.0}}
Spinosaurus_.2, {{100, 0.99}}
Spinosaurus_.1, {{11, 0.95}, {75, 0.96}, {14, 0.97}}
Spinosaurus_, {{100, 1.0}}
Baryonyx.3, {{54, 0.88}, {5, 0.86}, {10, 0.89}, {31, 0.87}}
Baryonyx.2, {{100, 0.99}}
Baryonyx.1, {{100, 1.0}}
Suchomimus.3, {{10, 0.03}, {90, 0.02}}
Suchomimus.2, {{15, 0.15}, {17, 0.18}, {31, 0.17}, {32, 0.16}, {1, 0.14}, {4, 0.19}}
Suchomimus.1, {{17, 0.03}, {83, 0.02}}
Suchomimus, {{32, 0.18}, {3, 0.15}, {1, 0.2}, {33, 0.17}, {22, 0.16}, {1, 0.14}, {8, 0.19}}
Baryonyx, {{100, 1.0}}
Confuciusornis_sanctus, {{100, 0.0}}
Tribonyx_mortieri, {{100, 0.01}}
Phoenicopterus_roseus, {{100, 0.0}}
Euroscaptor_micrura, {{2, 0.22}, {48, 0.24}, {1, 0.26}, {19, 0.23}, {30, 0.25}}
Taxidea_taxus, {{42, 0.15}, {3, 0.16}, {6, 0.13}, {49, 0.14}}
Procyon_lotor, {{91, 0.04}, {9, 0.03}}
Uncia_uncia, {{100, 0.02}}
Tapirus_terrestris, {{56, 0.1}, {7, 0.11}, {36, 0.09}, {1, 0.08}}
Hippopotamus_amphibius, {{100, 0.98}}
Rupicapra_rupicapra, {{100, 0.0}}
Champsosaurus, {{100, 1.0}}
