Baryonyx, {{100, {{52, 9, 6, 25}, 1.0}}}
Spinosaurus, {{100, {{52, 9, 6, 25}, 1.0}}}
Baryonyx.1, {{100, {{53, 8, 5, 26}, 1.0}}}
Spinosaurus.3, {{100, {{53, 8, 5, 26}, 1.0}}}
Spinosaurus.2, {{100, {{53, 8, 5, 26}, 1.0}}}
Spinosaurus.1, {{100, {{53, 8, 5, 26}, 1.0}}}
Baryonyx, {{100, {{53, 8, 5, 26}, 1.0}}}
Spinosaurus, {{100, {{53, 8, 5, 26}, 1.0}}}
Baryonyx.1, {{100, {{53, 5, 5, 29}, 1.0}}}
Spinosaurus.3, {{100, {{53, 5, 5, 29}, 1.0}}}
Spinosaurus.2, {{100, {{53, 5, 5, 29}, 1.0}}}
Spinosaurus.1, {{100, {{53, 5, 5, 29}, 1.0}}}
Baryonyx, {{100, {{53, 5, 5, 29}, 1.0}}}
Spinosaurus, {{100, {{53, 5, 5, 29}, 1.0}}}
Baryonyx.1, {{100, {{52, 6, 6, 28}, 0.98}}}
Spinosaurus.3, {{100, {{52, 6, 6, 28}, 0.98}}}
Spinosaurus.2, {{100, {{52, 6, 6, 28}, 1.0}}}
Spinosaurus.1, {{11, {{52, 6, 6, 28}, 0.97}}, {89, {{52, 6, 6, 28}, 0.98}}}
Baryonyx, {{100, {{52, 6, 6, 28}, 1.0}}}
Spinosaurus, {{100, {{52, 6, 6, 28}, 1.0}}}
Baryonyx.1, {{100, {{53, 5, 5, 29}, 1.0}}}
Spinosaurus.3, {{100, {{53, 5, 5, 29}, 1.0}}}
Spinosaurus.2, {{100, {{53, 5, 5, 29}, 1.0}}}
Spinosaurus.1, {{100, {{53, 5, 5, 29}, 1.0}}}
Baryonyx, {{100, {{53, 5, 5, 29}, 1.0}}}
Spinosaurus, {{100, {{53, 5, 5, 29}, 1.0}}}
Baryonyx.1, {{100, {{55, 4, 3, 30}, 1.0}}}
Spinosaurus.3, {{100, {{55, 4, 3, 30}, 1.0}}}
Spinosaurus.2, {{100, {{55, 4, 3, 30}, 1.0}}}
Spinosaurus.1, {{100, {{55, 4, 3, 30}, 1.0}}}
Baryonyx, {{100, {{55, 4, 3, 30}, 1.0}}}
Spinosaurus, {{100, {{55, 4, 3, 30}, 1.0}}}
Baryonyx.1, {{100, {{56, 3, 2, 31}, 1.0}}}
Spinosaurus.3, {{100, {{56, 3, 2, 31}, 1.0}}}
Spinosaurus.2, {{100, {{56, 3, 2, 31}, 1.0}}}
Spinosaurus.1, {{100, {{56, 3, 2, 31}, 1.0}}}
Baryonyx, {{100, {{56, 3, 2, 31}, 1.0}}}
Spinosaurus, {{100, {{56, 3, 2, 31}, 1.0}}}
Baryonyx.1, {{100, {{54, 5, 4, 29}, 1.0}}}
Spinosaurus.3, {{100, {{54, 5, 4, 29}, 1.0}}}
Spinosaurus.2, {{100, {{54, 5, 4, 29}, 1.0}}}
Spinosaurus.1, {{100, {{54, 5, 4, 29}, 1.0}}}
Baryonyx, {{100, {{54, 5, 4, 29}, 1.0}}}
Spinosaurus, {{100, {{54, 5, 4, 29}, 1.0}}}
Baryonyx.1, {{100, {{51, 8, 7, 26}, 0.98}}}
Spinosaurus.3, {{71, {{51, 8, 7, 26}, 0.98}}, {29, {{51, 8, 7, 26}, 0.99}}}
Spinosaurus.2, {{100, {{51, 8, 7, 26}, 1.0}}}
Spinosaurus.1, {{100, {{51, 8, 7, 26}, 0.98}}}
Baryonyx, {{100, {{51, 8, 7, 26}, 1.0}}}
Spinosaurus, {{100, {{51, 8, 7, 26}, 1.0}}}
Baryonyx.1, {{100, {{54, 7, 4, 27}, 0.99}}}
Spinosaurus.3, {{5, {{54, 7, 4, 27}, 1.0}}, {95, {{54, 7, 4, 27}, 0.99}}}
Spinosaurus.2, {{100, {{54, 7, 4, 27}, 1.0}}}
Spinosaurus.1, {{100, {{54, 7, 4, 27}, 0.99}}}
Baryonyx, {{100, {{54, 7, 4, 27}, 1.0}}}
Spinosaurus, {{100, {{54, 7, 4, 27}, 1.0}}}
Baryonyx.1, {{100, {{57, 4, 1, 30}, 1.0}}}
Spinosaurus.3, {{100, {{57, 4, 1, 30}, 1.0}}}
Spinosaurus.2, {{100, {{57, 4, 1, 30}, 1.0}}}
Spinosaurus.1, {{100, {{57, 4, 1, 30}, 1.0}}}
Baryonyx, {{100, {{57, 4, 1, 30}, 1.0}}}
Spinosaurus, {{100, {{57, 4, 1, 30}, 1.0}}}
Baryonyx.1, {{53, {{51, 7, 7, 27}, 0.95}}, {47, {{51, 7, 7, 27}, 0.94}}}
Spinosaurus.3, {{100, {{51, 7, 7, 27}, 0.95}}}
Spinosaurus.2, {{52, {{51, 7, 7, 27}, 0.99}}, {48, {{51, 7, 7, 27}, 1.0}}}
Spinosaurus.1, {{100, {{51, 7, 7, 27}, 0.94}}}
Baryonyx, {{100, {{51, 7, 7, 27}, 1.0}}}
Spinosaurus, {{100, {{51, 7, 7, 27}, 0.99}}}
Baryonyx.1, {{100, {{54, 6, 4, 28}, 0.98}}}
Spinosaurus.3, {{100, {{54, 6, 4, 28}, 0.98}}}
Spinosaurus.2, {{100, {{54, 6, 4, 28}, 1.0}}}
Spinosaurus.1, {{9, {{54, 6, 4, 28}, 0.97}}, {91, {{54, 6, 4, 28}, 0.98}}}
Baryonyx, {{100, {{54, 6, 4, 28}, 1.0}}}
Spinosaurus, {{100, {{54, 6, 4, 28}, 1.0}}}
Baryonyx.1, {{27, {{54, 7, 4, 27}, 0.97}}, {73, {{54, 7, 4, 27}, 0.96}}}
Spinosaurus.3, {{100, {{54, 7, 4, 27}, 0.97}}}
Spinosaurus.2, {{100, {{54, 7, 4, 27}, 1.0}}}
Spinosaurus.1, {{100, {{54, 7, 4, 27}, 0.96}}}
Baryonyx, {{100, {{54, 7, 4, 27}, 1.0}}}
Spinosaurus, {{100, {{54, 7, 4, 27}, 0.99}}}
Baryonyx.1, {{100, {{58, 6, 0, 28}, 1.0}}}
Spinosaurus.3, {{100, {{58, 6, 0, 28}, 1.0}}}
Spinosaurus.2, {{100, {{58, 6, 0, 28}, 1.0}}}
Spinosaurus.1, {{100, {{58, 6, 0, 28}, 1.0}}}
Baryonyx, {{100, {{58, 6, 0, 28}, 1.0}}}
Spinosaurus, {{100, {{58, 6, 0, 28}, 1.0}}}
Baryonyx.1, {{100, {{54, 4, 4, 30}, 1.0}}}
Spinosaurus.3, {{100, {{54, 4, 4, 30}, 1.0}}}
Spinosaurus.2, {{100, {{54, 4, 4, 30}, 1.0}}}
