Spinosaurus_.11, {{4, {{86, 5, 11, 43}, 0.19}}, {2, {{87, 5, 10, 43}, 0.16}}, {12, {{87, 5, 10, 43}, 0.19}}, {2, {{86, 5, 11, 43}, 0.17}}, {5, {{86, 5, 11, 43}, 0.22}}, {7, {{86, 5, 11, 43}, 0.23}}, {6, {{86, 5, 11, 43}, 0.18}}, {6, {{87, 5, 10, 43}, 0.17}}, {7, {{87, 5, 10, 43}, 0.22}}, {4, {{87, 5, 10, 43}, 0.23}}, {13, {{87, 5, 10, 43}, 0.18}}, {6, {{86, 5, 11, 43}, 0.2}}, {2, {{86, 5, 11, 43}, 0.21}}, {9, {{87, 5, 10, 43}, 0.2}}, {15, {{87, 5, 10, 43}, 0.21}}}
Spinosaurus_.10, {{4, {{87, 5, 10, 43}, 0.31}}, {7, {{87, 5, 10, 43}, 0.3}}, {2, {{86, 5, 11, 43}, 0.26}}, {5, {{87, 5, 10, 43}, 0.26}}, {4, {{86, 5, 11, 43}, 0.28}}, {2, {{87, 5, 10, 43}, 0.23}}, {1, {{87, 5, 10, 43}, 0.32}}, {9, {{87, 5, 10, 43}, 0.28}}, {3, {{86, 5, 11, 43}, 0.24}}, {8, {{86, 5, 11, 43}, 0.25}}, {8, {{87, 5, 10, 43}, 0.24}}, {3, {{86, 5, 11, 43}, 0.29}}, {8, {{87, 5, 10, 43}, 0.25}}, {6, {{86, 5, 11, 43}, 0.27}}, {17, {{87, 5, 10, 43}, 0.29}}, {1, {{86, 5, 11, 43}, 0.31}}, {5, {{86, 5, 11, 43}, 0.3}}, {7, {{87, 5, 10, 43}, 0.27}}}
Spinosaurus_.9, {{32, {{86, 5, 11, 43}, 1.0}}, {68, {{87, 5, 10, 43}, 1.0}}}
Spinosaurus_.8, {{32, {{86, 5, 11, 43}, 1.0}}, {68, {{87, 5, 10, 43}, 1.0}}}
Spinosaurus_.7, {{68, {{87, 5, 10, 43}, 0.99}}, {1, {{86, 5, 11, 43}, 1.0}}, {31, {{86, 5, 11, 43}, 0.99}}}
Spinosaurus_.6, {{6, {{86, 5, 11, 43}, 0.95}}, {4, {{87, 5, 10, 43}, 0.97}}, {16, {{87, 5, 10, 43}, 0.95}}, {26, {{86, 5, 11, 43}, 0.96}}, {48, {{87, 5, 10, 43}, 0.96}}}
Spinosaurus_.5, {{32, {{86, 5, 11, 43}, 1.0}}, {68, {{87, 5, 10, 43}, 1.0}}}
Spinosaurus_.4, {{32, {{86, 5, 11, 43}, 1.0}}, {68, {{87, 5, 10, 43}, 1.0}}}
Spinosaurus_.3, {{32, {{86, 5, 11, 43}, 1.0}}, {68, {{87, 5, 10, 43}, 1.0}}}
Spinosaurus_.2, {{39, {{87, 5, 10, 43}, 0.99}}, {16, {{86, 5, 11, 43}, 1.0}}, {29, {{87, 5, 10, 43}, 1.0}}, {16, {{86, 5, 11, 43}, 0.99}}}
