Suchomimus.1, {{52, 0.01}, {48, 0.02}}
Suchomimus, {{11, 0.15}, {15, 0.18}, {33, 0.17}, {36, 0.16}, {4, 0.14}, {1, 0.19}}
Baryonyx, {{100, 1.0}}
Condorraptor, {{100, 0.0}}
Sarothrura_rufa, {{100, 0.01}}
Porphyrio_Poliocephalus, {{100, 0.0}}
Xenicus_giliventris, {{100, 0.0}}
Phoenicopterus_roseus, {{100, 0.0}}
Glareola_pratincola, {{100, 0.0}}
Spheniscus, {{100, 1.0}}
Ornithorhynchus_anatinus, {{100, 1.0}}
Hemiechinus_azurites, {{43, 0.76}, {57, 0.77}}
Desmana_moschata, {{100, 1.0}}
Meles_meles, {{98, 0.04}, {2, 0.05}}
Indohyus, {{100, 1.0}}
Rupicapra_rupicapra, {{100, 0.0}}
Bos_taurus, {{50, 0.33}, {2, 0.34}, {44, 0.32}, {4, 0.31}}
Serpianosaurus, {{100, 1.0}}
Syntarsus_, {{100, 0.0}}
Masiakasaurus, {{100, 0.01}}
Spinosaurus_.11, {{12, 0.22}, {9, 0.18}, {12, 0.2}, {12, 0.24}, {1, 0.17}, {13, 0.23}, {14, 0.25}, {15, 0.21}, {12, 0.19}}
Spinosaurus_.10, {{9, 0.3}, {10, 0.32}, {7, 0.26}, {1, 0.35}, {8, 0.25}, {8, 0.28}, {7, 0.34}, {7, 0.31}, {11, 0.33}, {16, 0.27}, {1, 0.24}, {15, 0.29}}
Spinosaurus_.9, {{100, 1.0}}
Spinosaurus_.8, {{100, 1.0}}
Spinosaurus_.7, {{68, 0.99}, {32, 1.0}}
Spinosaurus_.6, {{36, 0.96}, {64, 0.97}}
Spinosaurus_.5, {{100, 1.0}}
Spinosaurus_.4, {{100, 1.0}}
Spinosaurus_.3, {{100, 1.0}}
Spinosaurus_.2, {{45, 0.99}, {55, 1.0}}
Spinosaurus_.1, {{23, 0.96}, {77, 0.97}}
Spinosaurus_, {{100, 1.0}}
Baryonyx.3, {{1, 0.88}, {9, 0.91}, {63, 0.9}, {27, 0.89}}
Baryonyx.2, {{100, 0.99}}
Baryonyx.1, {{100, 1.0}}
Suchomimus.3, {{100, 0.02}}
Suchomimus.2, {{16, 0.15}, {13, 0.18}, {27, 0.17}, {40, 0.16}, {4, 0.14}}
Suchomimus.1, {{100, 0.02}}
Suchomimus, {{23, 0.18}, {8, 0.15}, {39, 0.17}, {25, 0.16}, {1, 0.14}, {4, 0.19}}
Baryonyx, {{100, 1.0}}
Gobiraptor_, {{100, 0.01}}
Deinonychus, {{6, 0.15}, {2, 0.12}, {42, 0.13}, {50, 0.14}}
Aramus_guarauna, {{100, 0.0}}
Podica_senegalensis, {{100, 0.01}}
Xenicus_longipes, {{100, 0.0}}
large_eocene_stem_penguin, {{100, 1.0}}
Rhynchocyon_petersi, {{100, 0.0}}
Myrmecophaga_tridactyla, {{59, 0.73}, {37, 0.74}, {4, 0.72}}
Mus_musculus, {{100, 0.0}}
Lutra_vulgaris, {{100, 0.99}}
Taxidea_taxus, {{11, 0.15}, {23, 0.13}, {66, 0.14}}
Otaria_byronia, {{80, 0.98}, {20, 0.97}}
Dama_dama, {{100, 0.0}}
Placodontia_indet_1, {{100, 1.0}}
Pistosaurus, {{100, 1.0}}
Poposaurus, {{100, 0.0}}
Dyrosaurid, {{100, 0.01}}
Alligator, {{100, 1.0}}
