{{100, {56, 6, 7, 43}}}
{{100, {53, 11, 10, 38}}}
{{100, {53, 13, 10, 36}}}
{{100, {52, 10, 11, 39}}}
{{100, {54, 10, 9, 39}}}
{{100, {58, 12, 5, 37}}}
{{100, {53, 10, 10, 39}}}
{{100, {54, 10, 9, 39}}}
{{100, {48, 14, 15, 35}}}
{{100, {50, 12, 13, 37}}}
{{100, {54, 11, 9, 38}}}
{{100, {56, 6, 7, 43}}}
{{100, {48, 11, 15, 38}}}
{{15, {49, 7, 14, 42}}, {85, {47, 7, 16, 42}}}
{{100, {51, 13, 12, 36}}}
{{100, {55, 8, 8, 41}}}
{{100, {54, 8, 9, 41}}}
{{100, {55, 11, 8, 38}}}
{{100, {57, 15, 6, 34}}}
{{100, {55, 12, 8, 37}}}
{{100, {52, 5, 11, 44}}}
{{100, {49, 9, 14, 40}}}
{{100, {53, 12, 10, 37}}}
{{100, {49, 11, 14, 38}}}
{{100, {55, 9, 8, 40}}}
{{100, {51, 8, 12, 41}}}
{{100, {55, 9, 8, 40}}}
{{100, {56, 9, 7, 40}}}
{{100, {50, 7, 13, 42}}}
{{100, {51, 13, 12, 36}}}
{{100, {47, 7, 16, 42}}}
{{100, {53, 8, 10, 41}}}
{{100, {49, 12, 14, 37}}}
{{100, {52, 9, 11, 40}}}
{{100, {56, 9, 7, 40}}}
{{100, {45, 10, 18, 39}}}
{{100, {55, 9, 8, 40}}}
{{100, {51, 10, 12, 39}}}
{{86, {44, 7, 19, 42}}, {14, {43, 7, 20, 42}}}
{{100, {50, 11, 13, 38}}}
{{100, {59, 11, 4, 38}}}
{{100, {50, 12, 13, 37}}}
{{100, {49, 9, 14, 40}}}
{{100, {44, 10, 19, 39}}}
{{100, {55, 11, 8, 38}}}
{{100, {51, 8, 12, 41}}}
{{30, {45, 8, 18, 41}}, {68, {45, 5, 18, 44}}, {1, {45, 7, 18, 42}}, {1, {45, 6, 18, 43}}}
{{100, {49, 13, 14, 36}}}
{{100, {53, 7, 10, 42}}}
{{100, {56, 11, 7, 38}}}
{{30, {48, 11, 15, 38}}, {70, {48, 14, 15, 35}}}
{{100, {55, 14, 8, 35}}}
{{100, {48, 13, 15, 36}}}
{{100, {57, 13, 6, 36}}}
{{100, {50, 5, 13, 44}}}
{{100, {54, 6, 9, 43}}}
{{100, {55, 7, 8, 42}}}
{{100, {54, 8, 9, 41}}}
{{100, {54, 5, 9, 44}}}
{{100, {55, 10, 8, 39}}}
{{30, {46, 12, 17, 37}}, {70, {46, 14, 17, 35}}}
{{56, {47, 10, 16, 39}}, {44, {47, 11, 16, 38}}}
{{100, {57, 9, 6, 40}}}
{{100, {55, 15, 8, 34}}}
{{100, {55, 11, 8, 38}}}
{{100, {45, 13, 18, 36}}}
{{100, {55, 9, 8, 40}}}
{{100, {58, 7, 5, 42}}}
{{100, {51, 8, 12, 41}}}
{{75, {48, 10, 15, 39}}, {25, {49, 10, 14, 39}}}
{{100, {54, 11, 9, 38}}}
{{20, {50, 8, 13, 41}}, {41, {50, 10, 13, 39}}, {39, {50, 9, 13, 40}}}
{{100, {56, 8, 7, 41}}}
{{100, {57, 7, 6, 42}}}
{{60, {48, 7, 15, 42}}, {40, {49, 7, 14, 42}}}
{{100, {56, 9, 7, 40}}}
{{100, {57, 13, 6, 36}}}
{{100, {52, 12, 11, 37}}}
{{99, {50, 11, 13, 38}}, {1, {50, 9, 13, 40}}}
{{100, {51, 11, 12, 38}}}
{{100, {47, 8, 16, 41}}}
{{100, {56, 11, 7, 38}}}
{{100, {55, 10, 8, 39}}}
{{100, {48, 5, 15, 44}}}
{{100, {52, 8, 11, 41}}}
{{100, {52, 9, 11, 40}}}
{{100, {52, 10, 11, 39}}}
{{100, {50, 7, 13, 42}}}
{{100, {55, 10, 8, 39}}}
{{100, {51, 13, 12, 36}}}
{{100, {57, 7, 6, 42}}}
{{100, {53, 8, 10, 41}}}
{{100, {51, 7, 12, 42}}}
{{41, {49, 14, 14, 35}}, {59, {50, 14, 13, 35}}}
{{100, {54, 9, 9, 40}}}
{{100, {52, 7, 11, 42}}}
{{100, {56, 6, 7, 43}}}
