Spinosaurus.3, {{99, {{48, 10, 8, 35}, 0.97}}, {1, {{48, 10, 8, 35}, 0.98}}}
Spinosaurus.2, {{100, {{48, 10, 8, 35}, 1.0}}}
Spinosaurus.1, {{100, {{48, 10, 8, 35}, 0.96}}}
Baryonyx, {{100, {{48, 10, 8, 35}, 1.0}}}
Spinosaurus, {{100, {{48, 10, 8, 35}, 0.99}}}
Spheniscus_humboldti, {{100, {{48, 10, 8, 35}, 0.92}}}
Phalacrocorax_harris, {{100, {{48, 10, 8, 35}, 0.81}}}
Perameles_nasuta, {{100, {{48, 10, 8, 35}, 0.24}}}
Orycteropus_afer, {{100, {{48, 10, 8, 35}, 0.08}}}
Cercopithecus_mona, {{100, {{48, 10, 8, 35}, 0.03}}}
Sciurus_vulgaris, {{97, {{48, 10, 8, 35}, 0.13}}, {3, {{48, 10, 8, 35}, 0.12}}}
Noemys_fodies, {{100, {{48, 10, 8, 35}, 0.57}}}
Canis_lupus, {{24, {{48, 10, 8, 35}, 0.15}}, {76, {{48, 10, 8, 35}, 0.14}}}
Vulpes_vulpes, {{100, {{48, 10, 8, 35}, 0.05}}}
Tremarctos_ornatus, {{100, {{48, 10, 8, 35}, 0.71}}}
Neusticosaurus, {{100, {{48, 9, 11, 33}, 1.0}}}
Crocodylus_niloticus, {{100, {{48, 9, 11, 33}, 0.98}}}
Baryonyx.1, {{100, {{48, 9, 11, 33}, 0.97}}}
Spinosaurus.3, {{100, {{48, 9, 11, 33}, 0.97}}}
Spinosaurus.2, {{91, {{48, 9, 11, 33}, 1.0}}, {9, {{48, 9, 11, 33}, 0.99}}}
Spinosaurus.1, {{100, {{48, 9, 11, 33}, 0.96}}}
Baryonyx, {{98, {{48, 9, 11, 33}, 1.0}}, {2, {{48, 9, 11, 33}, 0.99}}}
Spinosaurus, {{100, {{48, 9, 11, 33}, 0.99}}}
Casuarius_casuarius, {{79, {{48, 9, 11, 33}, 0.23}}, {21, {{48, 9, 11, 33}, 0.24}}}
Eudyptes_chrysocome, {{100, {{48, 9, 11, 33}, 0.91}}}
Dugong_dugon, {{100, {{48, 9, 11, 33}, 0.99}}}
Mammuthus_primigenius, {{78, {{48, 9, 11, 33}, 0.39}}, {22, {{48, 9, 11, 33}, 0.38}}}
Desmostylus_hesperus, {{100, {{48, 9, 11, 33}, 0.32}}}
Erinaceus_europaeus, {{100, {{48, 9, 11, 33}, 0.12}}}
Sus_scrofa, {{82, {{48, 9, 11, 33}, 0.07}}, {18, {{48, 9, 11, 33}, 0.08}}}
Basilosaurus, {{100, {{48, 9, 11, 33}, 0.99}}}
Monodon_monoceros, {{100, {{48, 9, 11, 33}, 0.73}}}
